,home_team,away_team,neutral,match_results,home_recent_wins,away_recent_wins,home_recent_goals_scored,away_recent_goals_scored,home_recent_goals_conceded,away_recent_goals_conceded,home_win_rate,away_win_rate,home_average_goal_difference,away_average_goal_difference
47784,Malawi,Senegal,0,0,2.0,4.0,7.0,5.0,10.0,3.0,0.6190476190476191,0.6842105263157895,0.42857142857142855,0.7368421052631579
47782,South Sudan,Uganda,0,0,0.0,3.0,5.0,5.0,13.0,4.0,0.29411764705882354,0.29545454545454547,-0.6470588235294118,-0.8636363636363636
47779,Tanzania,DR Congo,0,0,1.0,2.0,1.0,5.0,8.0,4.0,0.4482758620689655,0.38,-0.1724137931034483,-0.22
47778,Sierra Leone,Ivory Coast,1,1,2.0,4.0,5.0,7.0,7.0,3.0,0.7142857142857143,0.6724137931034483,0.6071428571428571,0.7413793103448276
47777,Chad,Zambia,1,0,1.0,1.0,1.0,5.0,8.0,9.0,0.4,0.43859649122807015,-0.56,-0.14035087719298245
47776,Niger,Angola,1,0,2.0,3.0,9.0,6.0,7.0,5.0,0.4444444444444444,0.3023255813953488,-0.16666666666666666,-0.6744186046511628
47775,Sudan,Ghana,1,1,4.0,2.0,5.0,7.0,4.0,8.0,0.56,0.53125,0.18,0.28125
47774,Rwanda,Benin,0,1,2.0,0.0,3.0,4.0,6.0,13.0,0.5151515151515151,0.2,0.42424242424242425,-1.2444444444444445
47773,Botswana,Cape Verde,0,1,2.0,2.0,6.0,7.0,10.0,11.0,0.5128205128205128,0.32608695652173914,-0.10256410256410256,-0.8043478260869565
47772,Mauritania,Egypt,0,0,2.0,4.0,4.0,12.0,6.0,3.0,0.5555555555555556,0.52,0.25925925925925924,0.32
47771,Morocco,Central African Republic,0,1,5.0,0.0,18.0,6.0,2.0,17.0,0.8955223880597015,0.0967741935483871,1.9701492537313432,-1.6129032258064515
47770,Lesotho,Gabon,1,0,1.0,1.0,5.0,4.0,9.0,9.0,0.36,0.2608695652173913,-0.48,-0.8695652173913043
47780,Ethiopia,Guinea,1,0,1.0,2.0,4.0,4.0,9.0,6.0,0.6,0.3888888888888889,0.37142857142857144,-0.4074074074074074
47818,Liberia,Togo,0,1,1.0,1.0,5.0,3.0,8.0,9.0,0.6052631578947368,0.23076923076923078,0.39473684210526316,-0.9615384615384616
47853,Madagascar,Tunisia,1,0,3.0,4.0,4.0,5.0,5.0,2.0,0.53125,0.5806451612903226,-0.21875,0.25806451612903225
47854,Lesotho,Central African Republic,1,1,1.0,0.0,3.0,5.0,7.0,19.0,0.34615384615384615,0.09375,-0.5384615384615384,-1.6875
47851,Bahrain,China PR,0,0,3.0,1.0,10.0,3.0,8.0,13.0,0.6896551724137931,0.46153846153846156,1.2241379310344827,0.09615384615384616
47858,Niger,Sudan,1,1,1.0,2.0,2.0,6.0,6.0,5.0,0.43243243243243246,0.2222222222222222,-0.1891891891891892,-1.1296296296296295
47859,South Sudan,Congo,0,1,0.0,1.0,5.0,3.0,12.0,17.0,0.2777777777777778,0.2653061224489796,-0.6666666666666666,-1.183673469387755
47855,Rwanda,Libya,0,0,2.0,1.0,4.0,2.0,7.0,5.0,0.5294117647058824,0.1836734693877551,0.4411764705882353,-1.0816326530612246
47850,Oman,Palestine,0,1,4.0,2.0,12.0,5.0,3.0,8.0,0.7959183673469388,0.2857142857142857,2.204081632653061,-0.6857142857142857
47861,Burkina Faso,Senegal,1,0,5.0,5.0,11.0,6.0,2.0,0.0,0.7627118644067796,0.6896551724137931,1.1016949152542372,0.7413793103448276
47847,United Arab Emirates,Kyrgyzstan,0,1,3.0,1.0,10.0,6.0,5.0,10.0,0.6557377049180327,0.38461538461538464,1.1475409836065573,-0.46153846153846156
47846,Qatar,Uzbekistan,0,1,4.0,4.0,12.0,11.0,6.0,6.0,0.6911764705882353,0.5625,1.3970588235294117,0.3125
47845,North Korea,Iran,1,0,4.0,4.0,9.0,9.0,7.0,5.0,0.6666666666666666,0.7377049180327869,0.48148148148148145,1.3442622950819672
47843,Solomon Islands,New Caledonia,1,0,4.0,1.0,10.0,5.0,10.0,13.0,0.6923076923076923,0.375,1.2307692307692308,-0.25
47842,Paraguay,Argentina,0,1,3.0,4.0,5.0,8.0,6.0,2.0,0.6481481481481481,0.6481481481481481,0.5555555555555556,0.5370370370370371
47841,Ecuador,Bolivia,0,1,4.0,1.0,8.0,2.0,4.0,17.0,0.7321428571428571,0.03076923076923077,1.0178571428571428,-2.4615384615384617
47848,Kuwait,South Korea,0,0,2.0,4.0,6.0,15.0,7.0,3.0,0.6428571428571429,0.6111111111111112,1.7619047619047619,0.7592592592592593
47894,Uganda,South Africa,0,0,3.0,3.0,6.0,7.0,4.0,7.0,0.8095238095238095,0.4791666666666667,1.0952380952380953,-0.041666666666666664
47892,Mozambique,Mali,0,0,3.0,3.0,7.0,7.0,7.0,4.0,0.6388888888888888,0.4807692307692308,0.5833333333333334,-0.019230769230769232
47890,Zambia,Ivory Coast,0,1,3.0,3.0,10.0,6.0,6.0,4.0,0.723404255319149,0.6610169491525424,1.0425531914893618,0.711864406779661
47885,Gambia,Comoros,1,0,2.0,3.0,9.0,6.0,8.0,5.0,0.5925925925925926,0.2,0.48148148148148145,-1.44
47886,Gabon,Morocco,0,0,4.0,2.0,8.0,5.0,5.0,6.0,0.8205128205128205,0.5111111111111111,1.3076923076923077,0.1111111111111111
47882,New Zealand,Vanuatu,0,1,5.0,4.0,21.0,23.0,2.0,9.0,0.8823529411764706,0.8,2.764705882352941,2.8
47881,Samoa,Tahiti,1,0,5.0,1.0,11.0,4.0,5.0,9.0,0.5454545454545454,0.2727272727272727,-0.5454545454545454,-0.45454545454545453
47880,Uruguay,Colombia,0,1,4.0,3.0,13.0,3.0,2.0,2.0,0.7611940298507462,0.49122807017543857,1.164179104477612,-0.24561403508771928
47883,Indonesia,Japan,0,0,3.0,4.0,10.0,16.0,5.0,3.0,0.41379310344827586,0.782608695652174,0.1724137931034483,1.5072463768115942
